kode,uraian,fungsi_operasional,uraian_enriched,ai_search_context
500.10.26.14,pedoman petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir,500.10,Pedoman petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir,Kode 500.10.26.14 (500.10): Pedoman petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir
500.10.26.15,pelaporan usaha pertambangan mineral,500.10,Pelaporan usaha pertambangan mineral,Kode 500.10.26.15 (500.10): Pelaporan usaha pertambangan mineral
500.10.26.16,penghargaan usaha pertambangan mineral,500.10,Penghargaan usaha pertambangan mineral,Kode 500.10.26.16 (500.10): Penghargaan usaha pertambangan mineral
500.10.26.17,penerbitan sertifikat clear and clean cnc izin usaha pertambangan iup mineral,500.10,Penerbitan sertifikat clear and clean cnc izin usaha pertambangan iup mineral,Kode 500.10.26.17 (500.10): Penerbitan sertifikat clear and clean cnc izin usaha pertambangan iup mineral
500.10.27,pembinaan pengusahaan batubara,500.10,Pembinaan pengusahaan batubara,Kode 500.10.27 (500.10): Pembinaan pengusahaan batubara
500.10.27.1,ketenagakerjaan,500.10,Ketenagakerjaan,Kode 500.10.27.1 (500.10): Ketenagakerjaan
500.10.27.2,pemberdayaan masyarakat sekitar tambang,500.10,Pemberdayaan masyarakat sekitar tambang,Kode 500.10.27.2 (500.10): Pemberdayaan masyarakat sekitar tambang
500.10.27.3,penyelesaian perselisihan usaha pertambangan batubara,500.10,Penyelesaian perselisihan usaha pertambangan batubara,Kode 500.10.27.3 (500.10): Penyelesaian perselisihan usaha pertambangan batubara
500.10.27.4,rekomendasi kegiatan usaha pertambangan batubara,500.10,Rekomendasi kegiatan usaha pertambangan batubara,Kode 500.10.27.4 (500.10): Rekomendasi kegiatan usaha pertambangan batubara
500.10.27.5,laporan data kegiatan eksplorasi batubara,500.10,Laporan data kegiatan eksplorasi batubara,Kode 500.10.27.5 (500.10): Laporan data kegiatan eksplorasi batubara
500.10.27.6,pengawasan produksi dan pemasaran batubara bitumen padat batuan aspal batubara dan gambut antara lain laporan produksi dan penjualan batubara pkp2b iup hingga laporan kontrak penjualan pertambangan batubara,500.10,Pengawasan produksi dan pemasaran batubara bitumen padat batuan aspal batubara dan gambut  laporan produksi dan penjualan batubara pkp2b iup hingga laporan kontrak penjualan pertambangan batubara,Kode 500.10.27.6 (500.10): Pengawasan produksi dan pemasaran batubara bitumen padat batuan aspal batubara dan gambut  laporan produksi dan penjualan batubara pkp2b iup hingga laporan kontrak penjualan pertambangan batubara
500.10.27.7,perizinan usaha pertambangan batubara,500.10,Perizinan usaha pertambangan batubara,Kode 500.10.27.7 (500.10): Perizinan usaha pertambangan batubara
500.10.27.8,perjanjian karya pengusahaan batubara pkp2b,500.10,Perjanjian karya pengusahaan batubara pkp2b,Kode 500.10.27.8 (500.10): Perjanjian karya pengusahaan batubara pkp2b
500.10.27.9,pengelolaan barang perjanjian karya pengusahaan batubara pkp2b antara lain persetujuan pengadaan barang modal masterlist,500.10,Pengelolaan barang perjanjian karya pengusahaan batubara pkp2b  persetujuan pengadaan barang modal masterlist,Kode 500.10.27.9 (500.10): Pengelolaan barang perjanjian karya pengusahaan batubara pkp2b  persetujuan pengadaan barang modal masterlist
500.10.27.10,persetujuan obyek vital nasional obvitnas,500.10,Persetujuan obyek vital nasional obvitnas,Kode 500.10.27.10 (500.10): Persetujuan obyek vital nasional obvitnas
500.10.27.11,persetujuan perubahan saham direksi komisaris pada perusahaan perjanjian karya pengusahaan batubara pkp2b,500.10,Persetujuan perubahan saham direksi komisaris pada perusahaan perjanjian karya pengusahaan batubara pkp2b,Kode 500.10.27.11 (500.10): Persetujuan perubahan saham direksi komisaris pada perusahaan perjanjian karya pengusahaan batubara pkp2b
500.10.27.13,tanggapan kepada pemerintah daerah terkait usaha pertambangan batubara,500.10,Tanggapan kepada pemerintah daerah terkait usaha pertambangan batubara,Kode 500.10.27.13 (500.10): Tanggapan kepada pemerintah daerah terkait usaha pertambangan batubara
500.10.27.14,pedoman petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir,500.10,Pedoman petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir,Kode 500.10.27.14 (500.10): Pedoman petunjuk teknis pertambangan mineral termasuk rancangan awal sampul dengan rancangan akhir
500.10.27.15,pelaporan usaha pertambangan batubara,500.10,Pelaporan usaha pertambangan batubara,Kode 500.10.27.15 (500.10): Pelaporan usaha pertambangan batubara
500.10.27.16,penghargaan usaha pertambangan batubara,500.10,Penghargaan usaha pertambangan batubara,Kode 500.10.27.16 (500.10): Penghargaan usaha pertambangan batubara
500.10.27.17,penerbitan sertifikat clear and clean cnc izin usaha pertambangan iup batubara,500.10,Penerbitan sertifikat clear and clean cnc izin usaha pertambangan iup batubara,Kode 500.10.27.17 (500.10): Penerbitan sertifikat clear and clean cnc izin usaha pertambangan iup batubara
500.10.28,penerimaan negara,500.10,Penerimaan negara,Kode 500.10.28 (500.10): Penerimaan negara
500.10.28.1,penerimaan negara bukan pajak,500.10,Penerimaan negara bukan pajak,Kode 500.10.28.1 (500.10): Penerimaan negara bukan pajak
500.10.28.2,penetapan bagi hasil penerimaan negara bukan pajak pnbp,500.10,Penetapan bagi hasil penerimaan negara bukan pajak pnbp,Kode 500.10.28.2 (500.10): Penetapan bagi hasil penerimaan negara bukan pajak pnbp
500.10.28.3,pelaksanaan pemeriksaan dan pengujian pnbp,500.10,Pelaksanaan pemeriksaan dan pengujian pnbp,Kode 500.10.28.3 (500.10): Pelaksanaan pemeriksaan dan pengujian pnbp
500.10.29,teknik dan lingkungan mineral dan batubara,500.10,Teknik dan lingkungan mineral dan batubara,Kode 500.10.29 (500.10): Teknik dan lingkungan mineral dan batubara
500.10.29.1,perumusan rsni rancangan standar nasional indonesia rskkni rancangan standar kompetensi kerja nasional indonesia antara lain draft rancangan rancangan standar nasional,500.10,Perumusan rsni rancangan standar nasional indonesia rsurat keputusan (sk)kni rancangan standar kompetensi kerja nasional indonesia  draft rancangan rancangan standar nasional,Kode 500.10.29.1 (500.10): Perumusan rsni rancangan standar nasional indonesia rsurat keputusan (sk)kni rancangan standar kompetensi kerja nasional indonesia  draft rancangan rancangan standar nasional
500.10.29.2,pengawasan standarisasi,500.10,Pengawasan standarisasi,Kode 500.10.29.2 (500.10): Pengawasan standarisasi
500.10.29.3,persetujuan penunjukkan kepala wakil kepala teknik tambang,500.10,Persetujuan penunjukkan kepala wakil kepala teknik tambang,Kode 500.10.29.3 (500.10): Persetujuan penunjukkan kepala wakil kepala teknik tambang
500.10.29.4,pengawasan keselamatan kegiatan dan keselamatan pekerja antara lain laporan kecelakaan tambang statistik hingga laporan hasil pemeriksaan keselamatan dan kesehatan kerja k3,500.10,Pengawasan keselamatan kegiatan dan keselamatan pekerja  laporan kecelakaan tambang statistik hingga laporan hasil pemeriksaan keselamatan dan kesehatan kerja k3,Kode 500.10.29.4 (500.10): Pengawasan keselamatan kegiatan dan keselamatan pekerja  laporan kecelakaan tambang statistik hingga laporan hasil pemeriksaan keselamatan dan kesehatan kerja k3
500.10.29.5,pemeriksaan teknis dan pengujian instalasi dan peralatan tambang antara lain pemeriksaan dan pengujian instalasi dan peralatan,500.10,Pemeriksaan teknis dan pengujian instalasi dan peralatan tambang  pemeriksaan dan pengujian instalasi dan peralatan,Kode 500.10.29.5 (500.10): Pemeriksaan teknis dan pengujian instalasi dan peralatan tambang  pemeriksaan dan pengujian instalasi dan peralatan
500.10.29.6,analisis mengenai dampak lingkungan amdal,500.10,Analisis mengenai dampak lingkungan amdal,Kode 500.10.29.6 (500.10): Analisis mengenai dampak lingkungan amdal
500.10.29.7,upaya pengelolaan lingkungan ukl dan upaya pemantauan lingkungan upl,500.10,Upaya pengelolaan lingkungan ukl dan upaya pemantauan lingkungan upl,Kode 500.10.29.7 (500.10): Upaya pengelolaan lingkungan ukl dan upaya pemantauan lingkungan upl
500.10.29.8,rekomendasi bahan kimia,500.10,Rekomendasi bahan kimia,Kode 500.10.29.8 (500.10): Rekomendasi bahan kimia
500.10.29.9,pengawasan pelaksanaan pengelolaan dan pemantauan lingkungan antara lain laporan pelaksanaan  rencana pengelolaan lingkungan rkl rencana pemantauan lingkungan rpl hingga surat penetapan jaminan pasca tambang,500.10,Pengawasan pelaksanaan pengelolaan dan pemantauan lingkungan  laporan pelaksanaan  rencana pengelolaan lingkungan rkl rencana pemantauan lingkungan rpl hingga surat penetapan jaminan pasca tambang,Kode 500.10.29.9 (500.10): Pengawasan pelaksanaan pengelolaan dan pemantauan lingkungan  laporan pelaksanaan  rencana pengelolaan lingkungan rkl rencana pemantauan lingkungan rpl hingga surat penetapan jaminan pasca tambang
500.10.29.10,laporan berkala teknik dan lingkungan pertambangan laporan tahunan pelaksanaan reklamasi antara lain laporan bulanan terjadinya pencemaran lpl 5 pelaksanaan  reklamasi,500.10,Laporan berkala teknik dan lingkungan pertambangan laporan tahunan pelaksanaan reklamasi  laporan bulanan terjadinya pencemaran lpl 5 pelaksanaan  reklamasi,Kode 500.10.29.10 (500.10): Laporan berkala teknik dan lingkungan pertambangan laporan tahunan pelaksanaan reklamasi  laporan bulanan terjadinya pencemaran lpl 5 pelaksanaan  reklamasi
500.10.29.11,pemberian penghargaan antara lain pemberian penghargaan lingkungan pertambangan pemberian penghargaan keselematan kerja dokumen pengajuan dan penilaian tanda penghargaan lingkungan pertambangan dokumen pengajuan dan penilaian tanda penghargaan keselamatan,500.10,Pemberian penghargaan  pemberian penghargaan lingkungan pertambangan pemberian penghargaan keselematan kerja dokumen pengajuan dan penilaian tanda penghargaan lingkungan pertambangan dokumen pengajuan dan penilaian tanda penghargaan keselamatan,Kode 500.10.29.11 (500.10): Pemberian penghargaan  pemberian penghargaan lingkungan pertambangan pemberian penghargaan keselematan kerja dokumen pengajuan dan penilaian tanda penghargaan lingkungan pertambangan dokumen pengajuan dan penilaian tanda penghargaan keselamatan
500.10.29.12,pengawasan lingkungan pertambangan,500.10,Pengawasan lingkungan pertambangan,Kode 500.10.29.12 (500.10): Pengawasan lingkungan pertambangan
500.10.29.13,usaha jasa mineral dan batubara,500.10,Usaha jasa mineral dan batubara,Kode 500.10.29.13 (500.10): Usaha jasa mineral dan batubara
500.10.29.14,pembinaan dan pengawasan usaha jasa mineral dan batubara,500.10,Pembinaan dan pengawasan usaha jasa mineral dan batubara,Kode 500.10.29.14 (500.10): Pembinaan dan pengawasan usaha jasa mineral dan batubara
500.10.29.15,rekomendasi teknis antara lain pengajuan rekomendasi teknis hasil evaluasi,500.10,Rekomendasi teknis  pengajuan rekomendasi teknis hasil evaluasi,Kode 500.10.29.15 (500.10): Rekomendasi teknis  pengajuan rekomendasi teknis hasil evaluasi
500.10.29.16,persetujuan teknis antara lain pengajuan persetujuan teknis hasil evaluasi,500.10,Persetujuan teknis  pengajuan persetujuan teknis hasil evaluasi,Kode 500.10.29.16 (500.10): Persetujuan teknis  pengajuan persetujuan teknis hasil evaluasi
500.10.29.17,pengawasan teknis,500.10,Pengawasan teknis,Kode 500.10.29.17 (500.10): Pengawasan teknis
500.10.29.18,pengawasan konservasi mineral dan batubara,500.10,Pengawasan konservasi mineral dan batubara,Kode 500.10.29.18 (500.10): Pengawasan konservasi mineral dan batubara
500.10.29.19,pembinaan teknik dan lingkungan mineral dan batubara antara lain sosialisasi,500.10,Pembinaan teknik dan lingkungan mineral dan batubara  sosialisasi,Kode 500.10.29.19 (500.10): Pembinaan teknik dan lingkungan mineral dan batubara  sosialisasi
500.10.30,program penelitian dan pengembangan,500.10,Program penelitian dan pengembangan,Kode 500.10.30 (500.10): Program penelitian dan pengembangan
500.10.30.1,rencana penelitian dan pengembangan,500.10,Rencana penelitian dan pengembangan,Kode 500.10.30.1 (500.10): Rencana penelitian dan pengembangan
500.10.30.2,pengembangan dan inovasi,500.10,Pengembangan dan inovasi,Kode 500.10.30.2 (500.10): Pengembangan dan inovasi
500.10.30.3,dokumen penerapan pemanfaatan pendayagunaan replikasi prototipe hasil penelitian pengkajian pengembangan inovasi,500.10,Dokumen penerapan pemanfaatan pendayagunaan replikasi prototipe hasil penelitian pengkajian pengembangan inovasi,Kode 500.10.30.3 (500.10): Dokumen penerapan pemanfaatan pendayagunaan replikasi prototipe hasil penelitian pengkajian pengembangan inovasi
500.10.30.4,advokasi dan fasilitasi penelitian pengembangan dan inovasi,500.10,Advokasi dan fasilitasi penelitian pengembangan dan inovasi,Kode 500.10.30.4 (500.10): Advokasi dan fasilitasi penelitian pengembangan dan inovasi
500.10.30.5,diseminasi hasil penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,500.10,Diseminasi hasil penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,Kode 500.10.30.5 (500.10): Diseminasi hasil penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.6,pembinaan penelitian  pengembangan pengkajian dan penerapan ilmu pengetahunan dan teknologi,500.10,Pembinaan penelitian  pengembangan pengkajian dan penerapan ilmu pengetahunan dan teknologi,Kode 500.10.30.6 (500.10): Pembinaan penelitian  pengembangan pengkajian dan penerapan ilmu pengetahunan dan teknologi
500.10.30.7,jaringan sistem nasional penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,500.10,Jaringan sistem nasional penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,Kode 500.10.30.7 (500.10): Jaringan sistem nasional penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.8,data dan informasi hasil penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,500.10,Data dan informasi hasil penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,Kode 500.10.30.8 (500.10): Data dan informasi hasil penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.9,master proceeding jurnal penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,500.10,Master proceeding jurnal penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,Kode 500.10.30.9 (500.10): Master proceeding jurnal penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.10,hak atas kekayaan intelektual haki,500.10,Hak atas kekayaan intelektual haki,Kode 500.10.30.10 (500.10): Hak atas kekayaan intelektual haki
500.10.30.11,forum komunikasi penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,500.10,Forum komunikasi penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi,Kode 500.10.30.11 (500.10): Forum komunikasi penelitian pengembangan dan penerapan ilmu pengetahuan dan teknologi
500.10.30.12,layanan jasa penelitian pengembangan penerapan iptek,500.10,Layanan jasa penelitian pengembangan penerapan iptek,Kode 500.10.30.12 (500.10): Layanan jasa penelitian pengembangan penerapan iptek
500.10.30.13,sertifikasi personil peneliti bidang sumber daya mineral,500.10,Sertifikasi personil peneliti bidang sumber daya mineral,Kode 500.10.30.13 (500.10): Sertifikasi personil peneliti bidang sumber daya mineral
500.10.31,sarana litbang,500.10,Sarana litbang,Kode 500.10.31 (500.10): Sarana litbang
500.10.31.1,administrasi penggunaan peralatan,500.10,Administrasi penggunaan peralatan,Kode 500.10.31.1 (500.10): Administrasi penggunaan peralatan
500.10.31.2,logbook peralatan survei peralatan uji kalibrasi,500.10,Logbook peralatan survei peralatan uji kalibrasi,Kode 500.10.31.2 (500.10): Logbook peralatan survei peralatan uji kalibrasi
500.10.32,afiliasi,500.10,Afiliasi,Kode 500.10.32 (500.10): Afiliasi
500.10.32.1,proyek percontohan,500.10,Proyek percontohan,Kode 500.10.32.1 (500.10): Proyek percontohan
500.10.32.2,promosi dan layanan jasa teknologi,500.10,Promosi dan layanan jasa teknologi,Kode 500.10.32.2 (500.10): Promosi dan layanan jasa teknologi
500.10.32.3,pembinaan penelitian dan pengembangan,500.10,Pembinaan penelitian dan pengembangan,Kode 500.10.32.3 (500.10): Pembinaan penelitian dan pengembangan
500.10.32.4,penyajian informasi,500.10,Penyajian informasi,Kode 500.10.32.4 (500.10): Penyajian informasi
500.10.33,penelitian dan pengembangan kegeologian,500.10,Penelitian dan pengembangan kegeologian,Kode 500.10.33 (500.10): Penelitian dan pengembangan kegeologian
500.10.33.1,pemetaaan dan penelitian geologi geokimia dan geofisika kelautan,500.10,Pemetaaan dan penelitian geologi geokimia dan geofisika kelautan,Kode 500.10.33.1 (500.10): Pemetaaan dan penelitian geologi geokimia dan geofisika kelautan
500.10.33.2,energi kelautan dan kewilayahan penelitian energi dan kewilayahan pantai,500.10,Energi kelautan dan kewilayahan penelitian energi dan kewilayahan pantai,Kode 500.10.33.2 (500.10): Energi kelautan dan kewilayahan penelitian energi dan kewilayahan pantai
500.10.33.3,penelitian sumber daya energi dan mineral kelautan,500.10,Penelitian sumber daya energi dan mineral kelautan,Kode 500.10.33.3 (500.10): Penelitian sumber daya energi dan mineral kelautan
500.10.33.4,penelitian sumber daya mineral kelautan,500.10,Penelitian sumber daya mineral kelautan,Kode 500.10.33.4 (500.10): Penelitian sumber daya mineral kelautan
500.10.34,penelitian dan pengembangan teknologi minyak dan gas bumi,500.10,Penelitian dan pengembangan teknologi minyak dan gas bumi,Kode 500.10.34 (500.10): Penelitian dan pengembangan teknologi minyak dan gas bumi
500.10.34.1,teknologi eksplorasi,500.10,Teknologi eksplorasi,Kode 500.10.34.1 (500.10): Teknologi eksplorasi
500.10.34.2,teknologi eksploitasi,500.10,Teknologi eksploitasi,Kode 500.10.34.2 (500.10): Teknologi eksploitasi
500.10.34.3,laboratorium,500.10,Laboratorium,Kode 500.10.34.3 (500.10): Laboratorium
500.10.34.5,teknologi proses,500.10,Teknologi proses,Kode 500.10.34.5 (500.10): Teknologi proses
500.10.34.6,teknologi aplikasi produk,500.10,Teknologi aplikasi produk,Kode 500.10.34.6 (500.10): Teknologi aplikasi produk
500.10.34.7,teknologi gas,500.10,Teknologi gas,Kode 500.10.34.7 (500.10): Teknologi gas
500.10.35,penelitian dan pengembangan teknologi mineral batubara,500.10,Penelitian dan pengembangan teknologi mineral batubara,Kode 500.10.35 (500.10): Penelitian dan pengembangan teknologi mineral batubara
500.10.35.1,teknologi eksploitasi tambang dan pengolahan sumber daya,500.10,Teknologi eksploitasi tambang dan pengolahan sumber daya,Kode 500.10.35.1 (500.10): Teknologi eksploitasi tambang dan pengolahan sumber daya
500.10.35.2,teknologi pengolahan dan pemanfaatan mineral,500.10,Teknologi pengolahan dan pemanfaatan mineral,Kode 500.10.35.2 (500.10): Teknologi pengolahan dan pemanfaatan mineral
500.10.35.3,teknologi pemanfaatan batubara,500.10,Teknologi pemanfaatan batubara,Kode 500.10.35.3 (500.10): Teknologi pemanfaatan batubara
500.10.36,penelitian dan pengembangan ketenagalistrikan dan energi baru terbarukan,500.10,Penelitian dan pengembangan ketenagalistrikan dan energi baru terbarukan,Kode 500.10.36 (500.10): Penelitian dan pengembangan ketenagalistrikan dan energi baru terbarukan
500.10.36.1,energi baru terbarukan,500.10,Energi baru terbarukan,Kode 500.10.36.1 (500.10): Energi baru terbarukan
500.10.36.2,teknologi ketenagalistrikan,500.10,Teknologi ketenagalistrikan,Kode 500.10.36.2 (500.10): Teknologi ketenagalistrikan
500.10.36.3,lingkungan dan konservasi energi,500.10,Lingkungan dan konservasi energi,Kode 500.10.36.3 (500.10): Lingkungan dan konservasi energi
500.10.36.4,penelitian dan pengembangan teknologi pltsa pembangkit listrik tenaga sampah dan konservasi energi,500.10,Penelitian dan pengembangan teknologi pltsa pembangkit listrik tenaga sampah dan konservasi energi,Kode 500.10.36.4 (500.10): Penelitian dan pengembangan teknologi pltsa pembangkit listrik tenaga sampah dan konservasi energi
500.11,perhubungan,500.11,Perhubungan,Kode 500.11 (500.11): Perhubungan
500.11.1,kebijakan di bidang perhubungan yang dilakukan oleh pemerintah daerah,500.11,Kebijakan di bidang perhubungan yang dilakukan oleh pemerintah daerah,Kode 500.11.1 (500.11): Kebijakan di bidang perhubungan yang dilakukan oleh pemerintah daerah
500.11.2,jaringan prasarana dan pelayanan,500.11,Jaringan prasarana dan pelayanan,Kode 500.11.2 (500.11): Jaringan prasarana dan pelayanan
500.11.2.1,penentuan lokasi terminal barang tipe pengumpul dan tipe penunjang,500.11,Penentuan lokasi terminal barang tipe pengumpul dan tipe penunjang,Kode 500.11.2.1 (500.11): Penentuan lokasi terminal barang tipe pengumpul dan tipe penunjang
500.11.2.2,penentuan lokasi terminal penumpang tipe a tipe b dan tipe c,500.11,Penentuan lokasi terminal penumpang tipe a tipe b dan tipe c,Kode 500.11.2.2 (500.11): Penentuan lokasi terminal penumpang tipe a tipe b dan tipe c
500.11.2.3,penetapan lokasi terminal barang utama,500.11,Penetapan lokasi terminal barang utama,Kode 500.11.2.3 (500.11): Penetapan lokasi terminal barang utama
500.11.2.4,standar pelayanan minimal pengoperasian terminal,500.11,Standar pelayanan minimal pengoperasian terminal,Kode 500.11.2.4 (500.11): Standar pelayanan minimal pengoperasian terminal
500.11.2.5,jaringan trayek angkutan antar kota provinsi,500.11,Jaringan trayek angkutan antar kota provinsi,Kode 500.11.2.5 (500.11): Jaringan trayek angkutan antar kota provinsi
500.11.2.6,jaringan lintas pada jaringan jalan primer,500.11,Jaringan lintas pada jaringan jalan primer,Kode 500.11.2.6 (500.11): Jaringan lintas pada jaringan jalan primer
500.11.2.7,penetapan kelas jalan primer,500.11,Penetapan kelas jalan primer,Kode 500.11.2.7 (500.11): Penetapan kelas jalan primer
500.11.2.8,kualifikasi teknis petugas terminal,500.11,Kualifikasi teknis petugas terminal,Kode 500.11.2.8 (500.11): Kualifikasi teknis petugas terminal
500.11.2.9,jaringan transportasi jalan sekunder,500.11,Jaringan transportasi jalan sekunder,Kode 500.11.2.9 (500.11): Jaringan transportasi jalan sekunder
500.11.3,pengembangan transportasi jalan,500.11,Pengembangan transportasi jalan,Kode 500.11.3 (500.11): Pengembangan transportasi jalan
500.11.3.1,sistem informasi dan komunikasi lalu lintas dan angkutan jalan,500.11,Sistem informasi dan komunikasi lalu lintas dan angkutan jalan,Kode 500.11.3.1 (500.11): Sistem informasi dan komunikasi lalu lintas dan angkutan jalan
500.11.3.2,pengembangan transportasi jalan,500.11,Pengembangan transportasi jalan,Kode 500.11.3.2 (500.11): Pengembangan transportasi jalan
500.11.4,pengujian kendaraan bermotor,500.11,Pengujian kendaraan bermotor,Kode 500.11.4 (500.11): Pengujian kendaraan bermotor
500.11.4.1,pengesahan hasil uji tipe kendaraan bermotor,500.11,Pengesahan hasil uji tipe kendaraan bermotor,Kode 500.11.4.1 (500.11): Pengesahan hasil uji tipe kendaraan bermotor
500.11.4.2,sertifikasi uji tipe kendaraan bermotor,500.11,Sertifikasi uji tipe kendaraan bermotor,Kode 500.11.4.2 (500.11): Sertifikasi uji tipe kendaraan bermotor
500.11.4.3,sertifikasi tenaga penguji kendaraan bermotor,500.11,Sertifikasi tenaga penguji kendaraan bermotor,Kode 500.11.4.3 (500.11): Sertifikasi tenaga penguji kendaraan bermotor
500.11.4.4,akreditasi unit pengujian kendaraan bermotor,500.11,Akreditasi unit pengujian kendaraan bermotor,Kode 500.11.4.4 (500.11): Akreditasi unit pengujian kendaraan bermotor
500.11.5,teknologi kendaraan bermotor,500.11,Teknologi kendaraan bermotor,Kode 500.11.5 (500.11): Teknologi kendaraan bermotor
500.11.5.1,sertifikasi rancang bangun dan rekayasa kendaraan bermotor,500.11,Sertifikasi rancang bangun dan rekayasa kendaraan bermotor,Kode 500.11.5.1 (500.11): Sertifikasi rancang bangun dan rekayasa kendaraan bermotor
500.11.5.2,pelaksanaan kalibrasi peralatan uji kendaraan bermotor,500.11,Pelaksanaan kalibrasi peralatan uji kendaraan bermotor,Kode 500.11.5.2 (500.11): Pelaksanaan kalibrasi peralatan uji kendaraan bermotor
500.11.5.3,persyaratan teknis dan laik jalan kendaraan bermotor,500.11,Persyaratan teknis dan laik jalan kendaraan bermotor,Kode 500.11.5.3 (500.11): Persyaratan teknis dan laik jalan kendaraan bermotor
500.11.5.4,harmonisasi dan standardisasi regulasi kendaraan bermotor,500.11,Harmonisasi dan standardisasi regulasi kendaraan bermotor,Kode 500.11.5.4 (500.11): Harmonisasi dan standardisasi regulasi kendaraan bermotor
500.11.6,manajemen dan rekayasa lalu lintas,500.11,Manajemen dan rekayasa lalu lintas,Kode 500.11.6 (500.11): Manajemen dan rekayasa lalu lintas
500.11.6.2,manajemen dan rekayasa lalu lintas di jalan nasional,500.11,Manajemen dan rekayasa lalu lintas di jalan nasional,Kode 500.11.6.2 (500.11): Manajemen dan rekayasa lalu lintas di jalan nasional
500.11.7,perlengkapan jalan,500.11,Perlengkapan jalan,Kode 500.11.7 (500.11): Perlengkapan jalan
500.11.7.1,pedoman teknis perlengkapan jalan,500.11,Pedoman teknis perlengkapan jalan,Kode 500.11.7.1 (500.11): Pedoman teknis perlengkapan jalan
500.11.7.2,penimbangan kendaraan bermotor dijalan,500.11,Penimbangan kendaraan bermotor dijalan,Kode 500.11.7.2 (500.11): Penimbangan kendaraan bermotor dijalan
500.11.7.3,akreditasi unit penimbangan kendaraan bermotor,500.11,Akreditasi unit penimbangan kendaraan bermotor,Kode 500.11.7.3 (500.11): Akreditasi unit penimbangan kendaraan bermotor
500.11.7.4,kualifikasi teknis petugas penimbangan kendaraan bermotor,500.11,Kualifikasi teknis petugas penimbangan kendaraan bermotor,Kode 500.11.7.4 (500.11): Kualifikasi teknis petugas penimbangan kendaraan bermotor
500.11.7.5,pengadaan pemasangan perbaikan dan pemeliharaan perlengkapan jalan di jalan nasional,500.11,Pengadaan pemasangan perbaikan dan pemeliharaan perlengkapan jalan di jalan nasional,Kode 500.11.7.5 (500.11): Pengadaan pemasangan perbaikan dan pemeliharaan perlengkapan jalan di jalan nasional
500.11.8,angkutan penumpang,500.11,Angkutan penumpang,Kode 500.11.8 (500.11): Angkutan penumpang
500.11.8.1,tarif angkutan penumpang kelas ekonomi,500.11,Tarif angkutan penumpang kelas ekonomi,Kode 500.11.8.1 (500.11): Tarif angkutan penumpang kelas ekonomi
500.11.8.2,izin trayek angkutan penumpang untuk trayek lintas batas negara,500.11,Izin trayek angkutan penumpang untuk trayek lintas batas negara,Kode 500.11.8.2 (500.11): Izin trayek angkutan penumpang untuk trayek lintas batas negara
500.11.8.3,izin trayek antar kota antar provinsi,500.11,Izin trayek antar kota antar provinsi,Kode 500.11.8.3 (500.11): Izin trayek antar kota antar provinsi
500.11.8.4,izin operasi angkutan pariwisata dan angkutan penumpang tidak dalam trayek yang wilayah pelayanannya bersifat lintas batas negara antar kota provinsi,500.11,Izin operasi angkutan pariwisata dan angkutan penumpang tidak dalam trayek yang wilayah pelayanannya bersifat lintas batas negara antar kota provinsi,Kode 500.11.8.4 (500.11): Izin operasi angkutan pariwisata dan angkutan penumpang tidak dalam trayek yang wilayah pelayanannya bersifat lintas batas negara antar kota provinsi
500.11.8.5,penilaian kinerja perusahaan angkutan umum,500.11,Penilaian kinerja perusahaan angkutan umum,Kode 500.11.8.5 (500.11): Penilaian kinerja perusahaan angkutan umum
500.11.8.6,pemberian subsidi angkutan umum,500.11,Pemberian subsidi angkutan umum,Kode 500.11.8.6 (500.11): Pemberian subsidi angkutan umum
500.11.8.7,angkutan perintis,500.11,Angkutan perintis,Kode 500.11.8.7 (500.11): Angkutan perintis
500.11.8.8,penghargaan perusahaan angkutan umum,500.11,Penghargaan perusahaan angkutan umum,Kode 500.11.8.8 (500.11): Penghargaan perusahaan angkutan umum
500.11.9,angkutan barang,500.11,Angkutan barang,Kode 500.11.9 (500.11): Angkutan barang
